network,chainId,market,collateralToken,loanToken,minAPY,maxAPY
Plume,98866,0x970b184db9382337bf6b693017cf30936a26001fb26bac24e238c77629a75046,nbasis,pusd,4.5,5.5
Plume,98866,0x7a96549cae736c913d12c78ee4c155c2d2f874031fce5acdd07bdbf23d7644c7,nalpha,pusd,8.5,9.5
Plume,98866,0xcf3bb7b9935f60d79da7b7bc6405328e6f990b6894895f1df7acfb4c82bc4c5a,tbill,pusd,2.5,3.5
Plume,98866,0x4e5b50278bf256f0af3d2b696545cba3de02dacba6bea930bdd5cf83dd4304f4,WPlume,pusd,6.5,7.5
Plume,98866,0xe70dd0172a62a91b8e9d67bf4815a2f72120b7f92dacac5448c2f075cd6f1079,nAlpha,pusd,8.5,9.5
Plume,98866,0xa05b28928ab7aea096978928cfb3545333b30b36695bf1510922ac1d6a2c044a,nCredit,pusd,6.5,7.5
Plume,98866,0xa39e210a871820d48b6c96e441c0b0fd2dddde3cfcc0074ab7e716df0751b549,WETH,pusd,6.5,7.5
Plume,98866,0x8243ee11b8f23c49d7734907316031d0a5030cbc0a77d5e649422678708c9798,nCredit,pusd,6.5,7.5
Ethereum,1,0xa0534c78620867b7c8706e3b6df9e69a2bc67c783281b7a77e034ed75cee012e,Renzo Restaked ETH,Wrapped Ether,2.0,3.0
Ethereum,1,0xb8fc70e82bc5bb53e773626fcc6a23f7eefa036918d7ef216ecfb1950a94a85e,Wrapped liquid staked Ether 2.0,Wrapped Ether,2.0,3.0
Ethereum,1,0x37e7484d642d90f14451f1910ba4b7b8e4c3ccdd0ec28f8b2bdb35479e472ba7,Wrapped eETH,Wrapped Ether,2.0,3.0
Ethereum,1,0xba761af4134efb0855adfba638945f454f0a704af11fc93439e20c7c5ebab942,rsETH,Wrapped Ether,2.0,3.0
Ethereum,1,0xc54d7acf14de29e0e5527cabd7a576506870346a78a11a6762e2cca66322ec41,Wrapped liquid staked Ether 2.0,Wrapped Ether,2.0,3.0
Ethereum,1,0x5f8a138ba332398a9116910f4d5e5dcd9b207024c5290ce5bc87bc2dbd8e4a86,ETHPlus,Wrapped Ether,2.0,3.0
Ethereum,1,0x6c65bb7104ae6fc1dc2cdc97fcb7df2a4747363e76135b32d9170b2520bb65eb,Aladdin rUSD,USD Coin,4.5,5.5
Ethereum,1,0xdc5333039bcf15f1237133f74d5806675d83d9cf19cfd4cfdd9be674842651bf,Staked USDe,Tether USD,4.5,5.5
Ethereum,1,0xcec858380cba2d9ca710fce3ce864d74c3f620d53826f69d08508902e09be86f,USDe,Tether USD,4.5,5.5
Ethereum,1,0x1ca7ff6b26581fe3155f391f3960d32a033b5f7d537b1f1932b2021a6cf4f706,Savings Dai,Tether USD,4.5,5.5
Ethereum,1,0x2e09b73c35e0769bdf589a9556e6ac3c892485ea502ac8c445cec9e79b0378af,Staked Falcon USD,Falcon USD,4.5,5.5
Ethereum,1,0x06cd324a963c18a7c046be97dba2a4af9b82f0ca3a2e451a38ccfb9c76667e5f,PT Staked Falcon USD 25SEP2025,Falcon USD,4.5,5.5
Ethereum,1,0xb323495f7e4148be5643a4ea4a8221eef163e4bccfdedc2a6f4696baacbc86cc,Wrapped liquid staked Ether 2.0,USD Coin,4.5,5.5
Ethereum,1,0xdcfd3558f75a13a3c430ee71df056b5570cbd628da91e33c27eec7c42603247b,Savings USDS,USD Coin,4.5,5.5
