protocol,network,chainId,vault,vaultAddress,market,collateralToken,loanToken,oracle,LLTV,totalSupplyAssets,totalBorrowAssets,borrowRate,supplyRate
morpho,Base,8453,Morpho eUSD,0xbb819D845b573B5D7C538F5b85057160cfb5f313,0xce89aeb081d719cd35cb1aafb31239c4dfd9c017b2fec26fc2e9a443461e9aea,Wrapped liquid staked Ether 2.0,Electronic Dollar,0xa79e9EC3458fEd729E7A0A1A1573e6a29E875d5E,86.00,1991868464363319249752481,1153057676605039747055879,0.3995,0.2312
morpho,Base,8453,Morpho eUSD,0xbb819D845b573B5D7C538F5b85057160cfb5f313,0xf9ed1dba3b6ba1ede10e2115a9554e9c52091c9f1b1af21f9e0fecc855ee74bf,Based ETH,Electronic Dollar,0xc866447b4C254E2029f1bfB700F5AA43ce27b1BE,86.00,1464798969586246545685811,861349162200626236229997,0.2521,0.1482
morpho,Base,8453,Morpho eUSD,0xbb819D845b573B5D7C538F5b85057160cfb5f313,0xb5d424e4af49244b074790f1f2dc9c20df948ce291fc6bcc6b59149ecf91196d,Coinbase Wrapped Staked ETH,Electronic Dollar,0xc3Fa71D77d80f671F366DAA6812C8bD6C7749cEc,86.00,1233749290213919299874035,702615720285796779926343,0.3481,0.1982
morpho,Base,8453,Re7 USDC,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,Coinbase Wrapped Staked ETH,USD Coin,0xb40d93F44411D8C09aD17d7F88195eF9b05cCD96,86.00,1987922840410,1790176278073,5.9367,5.3460
morpho,Base,8453,Re7 WETH,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0x144bf18d6bf4c59602548a825034f73bf1d20177fc5f975fc69d5a5eba929b45,Wrapped Super OETH,Wrapped Ether,0x28C964c985fe84736fAdc7Cf0bBd58B54bc7CF93,91.50,610152814842349013737,467413990516646852224,1.8371,1.4072
morpho,Base,8453,Re7 WETH,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0x7f90d72667171d72d10d62b5828d6a5ef7254b1e33718fe0c1f7dcf56dd1edc7,Based ETH,Wrapped Ether,0xD41310aCF5fA54CDd1970155ac32D708B376Dff6,91.50,37770515294197097391,7714641645422835330,0.2327,0.0475
morpho,Base,8453,Re7 WETH,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0x6aa81f51dfc955df598e18006deae56ce907ac02b0b5358705f1a28fcea23cc0,Wrapped liquid staked Ether 2.0,Wrapped Ether,0xaE10cbdAa587646246c8253E4532A002EE4fa7A4,96.50,504514180607282211726,411587202402217094701,1.6250,1.3257
morpho,Base,8453,Re7 WETH,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0x3a4048c64ba1b375330d376b1ce40e4047d03b47ab4d48af484edec9fec801ba,Wrapped liquid staked Ether 2.0,Wrapped Ether,0x4A11590e5326138B514E08A9B52202D42077Ca65,94.50,10779161409817347257625,8758983809312782171281,1.6862,1.3701
morpho,Base,8453,Re7 WETH,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0x214c2bf3c899c913efda9c4a49adff23f77bbc2dc525af7c05be7ec93f32d561,rsETHWrapper,Wrapped Ether,0x55E6DE626D8b937782F08C8D3d9e54e340a78D0e,94.50,137665263045701087809,111523502676702295025,2.1092,1.7087
morpho,Base,8453,Re7 WETH,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0x86021ffe2f778ed8aacecdf3dae2cdef77dbfa5e133b018cca16c52ceab58996,Renzo Restaked ETH,Wrapped Ether,0xcca88a97dE6700Bb5DAdf4082Cf35A55F383AF05,91.50,1616581942344093792,654420991822249226,0.6848,0.2772
